rhoc,R,M,Lambda,I,Mb
1.600623115577890750e+15,1.063004684999997274e+01,2.002498885406837736e+00,1.031692785505755161e+01,2.000687442017384576e+00,2.357233380851412541e+00
1.609924623115579250e+15,1.061004694999997078e+01,2.004995401612703620e+00,1.006071447427082788e+01,2.000453269646583543e+00,2.360984901186654827e+00
1.619226130653267750e+15,1.059004704999996882e+01,2.007380762105398286e+00,9.813708075259855335e+00,2.000011222563073954e+00,2.364584203556644670e+00
1.628527638190956250e+15,1.058004709999996784e+01,2.009701132405274482e+00,9.578221130930192118e+00,1.999565440061909172e+00,2.368075648510965081e+00
1.637829145728644500e+15,1.056004719999996411e+01,2.011943830157361113e+00,9.348969481106763624e+00,1.998948164579709585e+00,2.371463678754566651e+00
1.647130653266333000e+15,1.055004724999996313e+01,2.014082677183318459e+00,9.127910014911098102e+00,1.998145086553959171e+00,2.374707875658584655e+00
1.656432160804021500e+15,1.053004734999996117e+01,2.016142515551187842e+00,8.916444757225924889e+00,1.997286878647064778e+00,2.377829777341367024e+00
1.665733668341710000e+15,1.052004739999996019e+01,2.018142203478245023e+00,8.710504972116277500e+00,1.996310680000560112e+00,2.380865043837953721e+00
1.675035175879398500e+15,1.050004749999995823e+01,2.020064172435450445e+00,8.511455155736511458e+00,1.995210617884206172e+00,2.383787732939515625e+00
1.684336683417086750e+15,1.049004754999995725e+01,2.021889943533142997e+00,8.321882588336986686e+00,1.994004258514121108e+00,2.386569953833697522e+00
1.693638190954775250e+15,1.047004764999995530e+01,2.023668662806423324e+00,8.136479437182778440e+00,1.992703036442395215e+00,2.389281077650998064e+00
1.702939698492463750e+15,1.046004769999995609e+01,2.025365314252502547e+00,7.958145731729975303e+00,1.991277603759218806e+00,2.391874645468916594e+00
1.712241206030152250e+15,1.044004779999995591e+01,2.026973896071238901e+00,7.786839967854111144e+00,1.989757919123120944e+00,2.394337262398383182e+00
1.721542713567840750e+15,1.043004784999995671e+01,2.028541767425626308e+00,7.619353861131807015e+00,1.988155334811078534e+00,2.396737593857760196e+00
1.730844221105529000e+15,1.041004794999995653e+01,2.030026704282633432e+00,7.457965671862604395e+00,1.986422097758073990e+00,2.399018226971519230e+00
1.740145728643217500e+15,1.040004799999995555e+01,2.031443681349573982e+00,7.303295917951970750e+00,1.984648731268476851e+00,2.401193927142158291e+00
1.749447236180906000e+15,1.038004809999995715e+01,2.032798298689130867e+00,7.151852596343349688e+00,1.982731959888164308e+00,2.403281340365999164e+00
1.758748743718594500e+15,1.037004814999995617e+01,2.034090709506208405e+00,7.005958556312636532e+00,1.980741733395970483e+00,2.405273816958519717e+00
1.768050251256283000e+15,1.035004824999995598e+01,2.035316130149019465e+00,6.865858064962555574e+00,1.978699196872850896e+00,2.407163610420058220e+00
1.777351758793971250e+15,1.034004829999995678e+01,2.036481792573565208e+00,6.728203347911586363e+00,1.976514787102811033e+00,2.408968738869197601e+00
1.786653266331659750e+15,1.032004839999995660e+01,2.037597642707812629e+00,6.595493185757216992e+00,1.974293987734671685e+00,2.410693434189963735e+00
1.795954773869348250e+15,1.031004844999995740e+01,2.038636237932851536e+00,6.468155826533003250e+00,1.971987789787685408e+00,2.412304808679455181e+00
1.805256281407036750e+15,1.029004854999995722e+01,2.039638274152347996e+00,6.343773974071589272e+00,1.969605128877143896e+00,2.413857285257941854e+00
1.814557788944725250e+15,1.028004859999995624e+01,2.040562190489588978e+00,6.222463363364960642e+00,1.967100199595544385e+00,2.415298607974202483e+00
1.823859296482413500e+15,1.026004869999995606e+01,2.041426113702940359e+00,6.107178729559047170e+00,1.964559886660963262e+00,2.416646240321181249e+00
1.833160804020102000e+15,1.025004874999995685e+01,2.042275464619482950e+00,5.992926693488166201e+00,1.961971138648552770e+00,2.417964702315954728e+00
1.842462311557790500e+15,1.024004879999995765e+01,2.043057238705724643e+00,5.882642226432357013e+00,1.959288010329414131e+00,2.419182112590889222e+00
1.851763819095479000e+15,1.022004889999995747e+01,2.043783847038738610e+00,5.775934057401375554e+00,1.956565696342529526e+00,2.420314403364348443e+00
1.861065326633167500e+15,1.021004894999995649e+01,2.044431744023885056e+00,5.673447390279841684e+00,1.953743428418014849e+00,2.421334813158500854e+00
1.870366834170855750e+15,1.019004904999995809e+01,2.045044253841484139e+00,5.573671344411779138e+00,1.950876367371501274e+00,2.422296445253562247e+00
1.879668341708544250e+15,1.018004909999995711e+01,2.045635619394628790e+00,5.475518119591553656e+00,1.947952628430617672e+00,2.423219068929755693e+00
1.888969849246232750e+15,1.017004914999995790e+01,2.046170781151801954e+00,5.380787486872383063e+00,1.944987751291162414e+00,2.424054954975570109e+00
1.898271356783921250e+15,1.015004924999995772e+01,2.046639470296541141e+00,5.289158158859583736e+00,1.941943630656890685e+00,2.424794427134338459e+00
1.907572864321609750e+15,1.014004929999995674e+01,2.047064321145728449e+00,5.201213645072886749e+00,1.938889249276958937e+00,2.425464063505971879e+00
1.916874371859298000e+15,1.012004939999995834e+01,2.047456095354202699e+00,5.113826931200054382e+00,1.935714159732553563e+00,2.426079459510436021e+00
1.926175879396986500e+15,1.011004944999995736e+01,2.047786340609892175e+00,5.029075432749412045e+00,1.932456406941737814e+00,2.426607729688437409e+00
1.935477386934675000e+15,1.010004949999995816e+01,2.048087671625498096e+00,4.947519903430034560e+00,1.929215627113527010e+00,2.427082638827000149e+00
1.944778894472363500e+15,1.008004959999995798e+01,2.048358674836280091e+00,4.868546691800402115e+00,1.925988387608175811e+00,2.427505201583467276e+00
1.954080402010052000e+15,1.007004964999995700e+01,2.048570685627157495e+00,4.791550971610320175e+00,1.922643023204809731e+00,2.427843245903320124e+00
1.963381909547740250e+15,1.005004974999995859e+01,2.048763362480624739e+00,4.715416885885892917e+00,1.919256727947154850e+00,2.428143188689198428e+00
1.972683417085428750e+15,1.004004979999995761e+01,2.048897299708246855e+00,4.642249131510228999e+00,1.915807938374441743e+00,2.428357378913472253e+00
1.981984924623117250e+15,1.003004984999995841e+01,2.048993773234487392e+00,4.571330885618296591e+00,1.912350380167911590e+00,2.428512413414632309e+00
1.991286432160805750e+15,1.001004994999995823e+01,2.049063869901655455e+00,4.502999847144432799e+00,1.908908930934593462e+00,2.428620588839839112e+00
2.000587939698494250e+15,1.000004999999995725e+01,2.049085756768306510e+00,4.434536893807085711e+00,1.905309470010247530e+00,2.428656219606602384e+00
2.009889447236182500e+15,9.990050049999958048e+00,2.049071361207751352e+00,4.368672185316592405e+00,1.901693962010744254e+00,2.428637138816700514e+00
