rhoc,R,M,Lambda,I,Mb
1.188582914572864250e+15,1.320003400000025984e+01,2.768819700504497661e+00,6.336954872351043377e+00,4.633818513566540176e+00,3.338398200051817533e+00
1.204140703517588000e+15,1.316003420000025592e+01,2.766916094149355132e+00,6.135294076949741715e+00,4.607953268728041785e+00,3.335328041140407596e+00
1.219698492462311500e+15,1.312003440000025023e+01,2.764740452021537731e+00,5.945797343533669732e+00,4.581455649865775470e+00,3.331799854783637826e+00
1.235256281407035000e+15,1.308003460000024631e+01,2.762348591596508474e+00,5.771445505094942696e+00,4.554922154115214283e+00,3.327920346693840514e+00
1.250814070351758750e+15,1.304003480000024240e+01,2.759793045706607995e+00,5.610678699714343409e+00,4.528528078510496435e+00,3.323747789583507029e+00
1.266371859296482500e+15,1.301003495000023946e+01,2.757020720115241019e+00,5.459547752293488543e+00,4.501759161446577728e+00,3.319223361214428181e+00
1.281929648241206000e+15,1.297003515000023377e+01,2.753989962534236557e+00,5.315100708648072825e+00,4.474151032109219273e+00,3.314269845912539036e+00
1.297487437185929500e+15,1.293003535000022985e+01,2.750836501901998687e+00,5.181693383500665107e+00,4.446793022191889655e+00,3.309099450161931522e+00
1.313045226130653250e+15,1.290003550000022692e+01,2.747572817556648062e+00,5.057355475858718918e+00,4.419685457739904955e+00,3.303734639648871152e+00
1.328603015075377000e+15,1.286003570000022123e+01,2.744191483948795529e+00,4.941966607208947870e+00,4.392724501079945831e+00,3.298170859146254408e+00
1.344160804020100500e+15,1.283003585000021829e+01,2.740565151259560128e+00,4.829610798986090359e+00,4.364814153617819770e+00,3.292190647927670799e+00
1.359718592964824000e+15,1.279003605000021437e+01,2.736845731963377215e+00,4.724993307401341269e+00,4.337161674073383821e+00,3.286055125181610137e+00
1.375276381909547750e+15,1.276003620000021144e+01,2.733059548240400982e+00,4.627611335450923846e+00,4.309847022560800767e+00,3.279798274491505516e+00
1.390834170854271250e+15,1.273003635000020672e+01,2.729216751274550212e+00,4.536747787172645374e+00,4.282880200077380906e+00,3.273441403736922162e+00
1.406391959798995000e+15,1.270003650000020379e+01,2.725174242825004534e+00,4.448739445572655882e+00,4.255260256858595547e+00,3.266751961767289103e+00
1.421949748743718500e+15,1.266003670000019987e+01,2.721067923906812513e+00,4.365959768366193039e+00,4.227840002982812706e+00,3.259934650116567134e+00
1.437507537688442250e+15,1.263003685000019694e+01,2.716920428822227951e+00,4.288499578363152764e+00,4.200778802002584023e+00,3.253049693627375394e+00
1.453065326633165750e+15,1.260003700000019222e+01,2.712741162396692385e+00,4.215901577723784044e+00,4.174087199414540983e+00,3.246108680966441895e+00
1.468623115577889500e+15,1.257003715000018929e+01,2.708451401710475714e+00,4.146056900700880732e+00,4.147226987748675597e+00,3.238973035008207990e+00
1.484180904522613000e+15,1.254003730000018635e+01,2.704059242689542231e+00,4.079441813780563031e+00,4.120233708328135513e+00,3.231659245519381329e+00
1.499738693467336500e+15,1.251003745000018341e+01,2.699658611586033263e+00,4.017030568608507934e+00,4.093676246260709917e+00,3.224328193046282376e+00
1.515296482412060250e+15,1.248003760000017870e+01,2.695250299940362471e+00,3.958366804780462544e+00,4.067523739096648328e+00,3.216981451190839447e+00
1.530854271356783750e+15,1.245003775000017576e+01,2.690806859927650230e+00,3.902747689907873685e+00,4.041575131453986280e+00,3.209565228752320198e+00
1.546412060301507500e+15,1.242003790000017283e+01,2.686228838286490728e+00,3.848733120853756962e+00,4.015253429621128411e+00,3.201925507299010487e+00
1.561969849246231000e+15,1.240003800000017087e+01,2.681652395524620314e+00,3.797962395646710121e+00,3.989340302256492610e+00,3.194289458007136151e+00
1.577527638190954750e+15,1.237003815000016793e+01,2.677103614054043845e+00,3.750146284461651991e+00,3.963931183138222014e+00,3.186681160835103110e+00
1.593085427135678250e+15,1.234003830000016322e+01,2.672574769713688791e+00,3.705242263864804375e+00,3.938969344890413726e+00,3.179102004536183301e+00
1.608643216080402000e+15,1.231003845000016028e+01,2.667879651712774525e+00,3.660876841919316949e+00,3.913435794616427099e+00,3.171251315606627763e+00
1.624201005025125500e+15,1.229003855000015832e+01,2.663202939872453268e+00,3.619423300374201347e+00,3.888331858029370203e+00,3.163431386897851638e+00
1.639758793969849250e+15,1.226003870000015539e+01,2.658566057790280102e+00,3.580458081002467985e+00,3.863730219655780118e+00,3.155663163225725487e+00
1.655316582914572750e+15,1.224003880000015343e+01,2.653958675251713917e+00,3.543253542948149093e+00,3.839568138371262318e+00,3.147944012951627624e+00
1.670874371859296500e+15,1.221003895000014872e+01,2.649258692010458383e+00,3.507494278246404029e+00,3.815200742137879519e+00,3.140067097551825448e+00
1.686432160804020000e+15,1.219003905000014676e+01,2.644541960051605578e+00,3.473363910494690732e+00,3.791016759550014825e+00,3.132159976577137073e+00
1.701989949748743750e+15,1.216003920000014382e+01,2.639857806051659761e+00,3.441160236197925215e+00,3.767259095163306259e+00,3.124311399600366190e+00
1.717547738693467250e+15,1.214003930000014186e+01,2.635217776929533962e+00,3.410695411340637140e+00,3.743959186781276482e+00,3.116523396964612225e+00
1.733105527638190750e+15,1.211003945000013715e+01,2.630548240485844236e+00,3.381581212045078999e+00,3.720748458080303411e+00,3.108685675637833157e+00
1.748663316582914500e+15,1.209003955000013519e+01,2.625819531734289392e+00,3.353530588455024386e+00,3.697476860894465922e+00,3.100757326790512636e+00
1.764221105527638000e+15,1.206003970000013226e+01,2.621140827811041518e+00,3.326831437483578569e+00,3.674670293716274294e+00,3.092903255086765224e+00
1.779778894472361750e+15,1.204003980000013030e+01,2.616504926102099393e+00,3.301831433976067487e+00,3.652280623877234067e+00,3.085122854601442643e+00
1.795336683417085250e+15,1.202003990000012834e+01,2.611901618541569547e+00,3.278048447762760720e+00,3.630241938496159726e+00,3.077382630902321559e+00
1.810894472361809000e+15,1.200004000000012638e+01,2.607180703522443466e+00,3.254644532539685997e+00,3.607848105621118240e+00,3.069468735962630035e+00
1.826452261306532500e+15,1.197004015000012167e+01,2.602529716617467237e+00,3.232840244662022133e+00,3.585975409662253366e+00,3.061649567662547700e+00
1.842010050251256250e+15,1.195004025000011971e+01,2.597917912800394191e+00,3.212178598916390904e+00,3.564469044306706191e+00,3.053909387394613706e+00
1.857567839195979750e+15,1.193004035000011775e+01,2.593362425664444526e+00,3.192697010711759820e+00,3.543398916137382670e+00,3.046250246475330936e+00
1.873125628140703500e+15,1.191004045000011580e+01,2.588711485161509174e+00,3.173656094040119058e+00,3.522063630637658704e+00,3.038446318108637634e+00
1.888683417085427000e+15,1.189004055000011384e+01,2.584114997760296184e+00,3.155842014967657594e+00,3.501141976177280846e+00,3.030714807774668174e+00
1.904241206030150750e+15,1.187004065000011188e+01,2.579559520539913553e+00,3.138834505018909482e+00,3.480569337196932178e+00,3.023064957804811659e+00
1.919798994974874250e+15,1.185004075000010815e+01,2.575047444942490937e+00,3.122945440580984666e+00,3.460356089413701319e+00,3.015498690948364757e+00
1.935356783919598000e+15,1.183004085000010619e+01,2.570506676559354720e+00,3.107425621208336430e+00,3.440153397449666528e+00,3.007866133642341122e+00
1.950914572864321500e+15,1.181004095000010423e+01,2.565970775780244573e+00,3.092923376680288161e+00,3.420125563834239379e+00,3.000237196906357706e+00
1.966472361809045000e+15,1.179004105000010227e+01,2.561472634975235696e+00,3.079072161429305954e+00,3.400409976660390576e+00,2.992692496247445710e+00
1.982030150753768750e+15,1.177004115000010032e+01,2.557033986675500081e+00,3.066138015656363791e+00,3.381091886637191291e+00,2.985239176283918106e+00
1.997587939698492250e+15,1.175004125000009836e+01,2.552594584933088662e+00,3.054079928950495404e+00,3.361905209581113052e+00,2.977796238278960228e+00
2.013145728643216000e+15,1.173004135000009640e+01,2.548131445171140541e+00,3.041990579295792418e+00,3.342745391875803662e+00,2.970297533239080412e+00
2.028703517587939500e+15,1.171004145000009267e+01,2.543735186438556006e+00,3.030948658476622981e+00,3.323995668471409815e+00,2.962900447184987573e+00
2.044261306532663250e+15,1.170004150000009169e+01,2.539372368689967185e+00,3.020531064584899283e+00,3.305518730833569840e+00,2.955585469968033063e+00
2.059819095477386750e+15,1.168004160000008973e+01,2.535061049547344680e+00,3.010809900363933256e+00,3.287376850451930732e+00,2.948348190836492133e+00
2.075376884422110500e+15,1.166004170000008777e+01,2.530680775192776011e+00,3.001423969188750096e+00,3.269059264389721609e+00,2.940991156870071066e+00
2.090934673366834000e+15,1.164004180000008581e+01,2.526356566370516088e+00,2.992759199993417774e+00,3.251098056675468140e+00,2.933740834898487027e+00
2.106492462311557750e+15,1.163004185000008484e+01,2.522078103384596925e+00,2.984594134640543572e+00,3.233433132076318550e+00,2.926568793034281413e+00
2.122050251256281250e+15,1.161004195000008288e+01,2.517867432846156550e+00,2.976921653223114639e+00,3.216155293005209082e+00,2.919499322968356125e+00
2.137608040201005000e+15,1.159004205000007914e+01,2.513604860339368141e+00,2.969652474245637386e+00,3.198767231720326620e+00,2.912343443546956845e+00
2.153165829145728500e+15,1.157004215000007719e+01,2.509368797514259342e+00,2.963031767207707112e+00,3.181594974738648940e+00,2.905244792802496256e+00
2.168723618090452250e+15,1.156004220000007621e+01,2.505192044424540132e+00,2.956923427870517873e+00,3.164764877319330427e+00,2.898241495275235557e+00
2.184281407035175750e+15,1.154004230000007425e+01,2.501057999932969622e+00,2.951066678817912958e+00,3.148198869496145136e+00,2.891317967446129344e+00
2.199839195979899500e+15,1.153004235000007327e+01,2.496917200815430782e+00,2.945848343527126545e+00,3.131703348977775914e+00,2.884376111697799061e+00
2.215396984924623000e+15,1.151004245000007131e+01,2.492779104705525661e+00,2.940972869660255729e+00,3.115312080973458908e+00,2.877446076439547529e+00
2.230954773869346500e+15,1.149004255000006935e+01,2.488688786138337328e+00,2.936314987879394600e+00,3.099197762795248057e+00,2.870599322918390595e+00
2.246512562814070250e+15,1.148004260000006838e+01,2.484661191017579096e+00,2.932295413709691267e+00,3.083421408050692758e+00,2.863851720297351910e+00
2.262070351758794000e+15,1.146004270000006464e+01,2.480645575939621761e+00,2.928579255811931237e+00,3.067776056404873053e+00,2.857130177685118788e+00
2.277628140703517500e+15,1.145004275000006366e+01,2.476610355134337027e+00,2.925125051123935283e+00,3.052139084729686314e+00,2.850377130898305467e+00
2.293185929648241000e+15,1.143004285000006170e+01,2.472619562731587894e+00,2.922163376803961654e+00,3.036758845147756514e+00,2.843704559491442740e+00
2.308743718592965000e+15,1.142004290000006073e+01,2.468691479544214751e+00,2.919610037240474298e+00,3.021697234376030217e+00,2.837129218647374884e+00
2.324301507537688000e+15,1.141004295000005975e+01,2.464812978965286838e+00,2.917350156649003878e+00,3.006905068839864636e+00,2.830637709975275751e+00
2.339859296482412000e+15,1.139004305000005779e+01,2.460878784796245000e+00,2.915238464118267814e+00,2.991977688937462521e+00,2.824060552712630123e+00
2.355417085427135500e+15,1.138004310000005681e+01,2.456987145468521483e+00,2.913630983114376072e+00,2.977285728586433589e+00,2.817565835155219744e+00
2.370974874371859000e+15,1.136004320000005485e+01,2.453162821793859028e+00,2.912349828839083887e+00,2.962920441292318685e+00,2.811169454259678346e+00
2.386532663316583000e+15,1.135004325000005387e+01,2.449382099536732582e+00,2.911205409007973088e+00,2.948788412640733103e+00,2.804853322042462516e+00
2.402090452261306500e+15,1.134004330000005112e+01,2.445565164709736283e+00,2.910505667832443244e+00,2.934593041734486540e+00,2.798489368524923027e+00
2.417648241206030000e+15,1.132004340000004916e+01,2.441799320364717918e+00,2.910118279324870549e+00,2.920656082249377228e+00,2.792185226725164338e+00
2.433206030150754000e+15,1.131004345000004818e+01,2.438065713220110897e+00,2.910010345408573507e+00,2.906906824169028791e+00,2.785956236122909768e+00
2.448763819095477000e+15,1.130004350000004720e+01,2.434374804662477576e+00,2.910030834613910322e+00,2.893374575612837063e+00,2.779801195780319034e+00
2.464321608040201000e+15,1.129004355000004622e+01,2.430693786776041865e+00,2.910460822958197191e+00,2.879946221095577741e+00,2.773659960463086271e+00
2.479879396984924500e+15,1.127004365000004427e+01,2.427014064053182985e+00,2.910953499950958090e+00,2.866581428273194287e+00,2.767525892998896175e+00
2.495437185929648000e+15,1.126004370000004329e+01,2.423383335223145529e+00,2.911897579413675885e+00,2.853459461775362360e+00,2.761472471302784726e+00
2.510994974874371500e+15,1.125004375000004231e+01,2.419794652813876734e+00,2.913049093327113148e+00,2.840548909266935151e+00,2.755499281311782678e+00
2.526552763819095500e+15,1.124004380000004133e+01,2.416245642247012881e+00,2.914509725736993406e+00,2.827839193160682107e+00,2.749583251232529335e+00
2.542110552763819000e+15,1.122004390000003937e+01,2.412654879375736083e+00,2.916058823893348251e+00,2.815036172178023044e+00,2.743615328838560075e+00
2.557668341708542500e+15,1.121004395000003662e+01,2.409134500850607985e+00,2.917854646606061308e+00,2.802539172146572888e+00,2.737745383197383919e+00
2.573226130653266000e+15,1.120004400000003564e+01,2.405639486560727125e+00,2.919810186427110654e+00,2.790185951291642041e+00,2.731935433465720653e+00
2.588783919597990000e+15,1.119004405000003466e+01,2.402200725823111949e+00,2.922161973594262108e+00,2.778088741974401810e+00,2.726220153413726255e+00
2.604341708542713500e+15,1.118004410000003368e+01,2.398737178063230502e+00,2.924766650382667255e+00,2.765955766768064983e+00,2.720446640866415855e+00
2.619899497487437000e+15,1.117004415000003270e+01,2.395295275285215020e+00,2.927450843432108929e+00,2.753949445963118858e+00,2.714733474493743248e+00
2.635457286432160500e+15,1.116004420000003172e+01,2.391906057382018780e+00,2.930427521784785050e+00,2.742178242184667880e+00,2.709101287412754022e+00
2.651015075376884500e+15,1.114004430000002976e+01,2.388557867014556635e+00,2.933277144329176966e+00,2.730593985855209294e+00,2.703541074681052869e+00
2.666572864321608000e+15,1.113004435000002879e+01,2.385202213827608553e+00,2.936756315793488170e+00,2.719038417449723966e+00,2.697968358102092346e+00
2.682130653266331500e+15,1.112004440000002781e+01,2.381855270690075077e+00,2.940176447012014638e+00,2.707557553061603173e+00,2.692420764870795402e+00
2.697688442211055000e+15,1.111004445000002683e+01,2.378552659190598106e+00,2.943747792588670809e+00,2.696272793141598179e+00,2.686942802242365591e+00
2.713246231155779000e+15,1.110004450000002585e+01,2.375306643137782281e+00,2.947546778113926180e+00,2.685232985663695171e+00,2.681552558359390215e+00
2.728804020100502500e+15,1.109004455000002487e+01,2.372066392902827392e+00,2.951674236506501181e+00,2.674253368060249159e+00,2.676183055998097249e+00
2.744361809045226000e+15,1.108004460000002211e+01,2.368833871120731960e+00,2.955952658437964509e+00,2.663344608085032039e+00,2.670816374197329868e+00
2.759919597989949500e+15,1.107004465000002114e+01,2.365633018960556999e+00,2.960286326127427703e+00,2.652585065302549783e+00,2.665517545492676721e+00
2.775477386934673000e+15,1.106004470000002016e+01,2.362466675154992313e+00,2.964807073920822322e+00,2.641982956207297839e+00,2.660279978606566065e+00
2.791035175879397000e+15,1.105004475000001918e+01,2.359336893463750862e+00,2.969457844379404410e+00,2.631546050693968741e+00,2.655103219042868279e+00
2.806592964824120500e+15,1.104004480000001820e+01,2.356192354374131437e+00,2.974433997366641158e+00,2.621097212400545828e+00,2.649892940366335825e+00
2.822150753768844000e+15,1.103004485000001722e+01,2.353085573180535128e+00,2.979396344014283660e+00,2.610816856270592456e+00,2.644748107304522922e+00
2.837708542713567500e+15,1.102004490000001624e+01,2.350011558570012316e+00,2.984647108524581149e+00,2.600682265185776387e+00,2.639676890131940290e+00
2.853266331658291500e+15,1.101004495000001526e+01,2.346986318914206393e+00,2.989741571901364914e+00,2.590747754840662775e+00,2.634671338584593681e+00
2.868824120603015000e+15,1.101004495000001526e+01,2.343931949715085672e+00,2.995363637712280536e+00,2.580753025394570077e+00,2.629630506049730254e+00
2.884381909547738500e+15,1.100004500000001428e+01,2.340915330217620660e+00,3.000932748245768167e+00,2.570919297794363789e+00,2.624645310946466470e+00
2.899939698492462000e+15,1.099004505000001330e+01,2.337936964507286497e+00,3.006681106452190111e+00,2.561245430623416475e+00,2.619724594026048958e+00
2.915497487437186000e+15,1.098004510000001233e+01,2.334999204855610078e+00,3.012546866210740859e+00,2.551737650134636937e+00,2.614874470854161359e+00
2.931055276381909500e+15,1.097004515000001135e+01,2.332046422671191888e+00,3.018595540985409276e+00,2.542217479602343566e+00,2.610011725742902744e+00
2.946613065326633000e+15,1.096004520000001037e+01,2.329117482155063978e+00,3.024844628313460237e+00,2.532809077963691369e+00,2.605178401863993631e+00
2.962170854271356500e+15,1.095004525000000761e+01,2.326223035578022902e+00,3.031003493476104982e+00,2.523543110516741184e+00,2.600408699652288824e+00
2.977728643216080000e+15,1.095004525000000761e+01,2.323369567109771161e+00,3.037451890265959520e+00,2.514442800523456700e+00,2.595703263347795886e+00
2.993286432160804000e+15,1.094004530000000663e+01,2.320526177689892222e+00,3.043973374578159863e+00,2.505404338060078118e+00,2.591022638712825010e+00
3.008844221105527500e+15,1.093004535000000566e+01,2.317678889372361439e+00,3.050732007743697682e+00,2.496388756186258995e+00,2.586340128559969198e+00
3.024402010050251000e+15,1.092004540000000468e+01,2.314880152972908611e+00,3.057476689135296244e+00,2.487553733352938945e+00,2.581725492511239395e+00
3.039959798994974500e+15,1.091004545000000370e+01,2.312102247732527260e+00,3.064307740608022801e+00,2.478815438484760936e+00,2.577159750648977621e+00
3.055517587939698500e+15,1.091004545000000370e+01,2.309368882887774532e+00,3.071350747165998207e+00,2.470249347682876184e+00,2.572659011279323504e+00
3.071075376884422000e+15,1.090004550000000272e+01,2.306599517765970386e+00,3.078504044257099004e+00,2.461594949129443322e+00,2.568110640689938773e+00
3.086633165829145500e+15,1.089004555000000174e+01,2.303879753623070403e+00,3.085867217183229982e+00,2.453131640897476817e+00,2.563638979875540791e+00
3.102190954773869000e+15,1.088004560000000076e+01,2.301184170071352675e+00,3.093294804877042115e+00,2.444767599011823833e+00,2.559212245548464271e+00
3.117748743718593000e+15,1.087004564999999978e+01,2.298530265664128436e+00,3.100792655073304704e+00,2.436562025069579640e+00,2.554856891418836096e+00
3.133306532663316500e+15,1.087004564999999978e+01,2.295859129263978282e+00,3.108298361958444112e+00,2.428325967914235495e+00,2.550474077247814275e+00
3.148864321608040000e+15,1.086004569999999880e+01,2.293223887498083258e+00,3.116145655635928158e+00,2.420234362651900728e+00,2.546138472328915103e+00
3.164422110552763500e+15,1.085004574999999782e+01,2.290600732190875899e+00,3.123949009140565281e+00,2.412200357025474862e+00,2.541852605260333853e+00
3.179979899497487500e+15,1.085004574999999782e+01,2.288027696079977691e+00,3.131595913984855706e+00,2.404348277945807411e+00,2.537623032524201960e+00
3.195537688442211000e+15,1.084004579999999685e+01,2.285450387293479491e+00,3.139771622087275560e+00,2.396507042083890315e+00,2.533403256455310615e+00
3.211095477386934500e+15,1.083004584999999409e+01,2.282877478081279943e+00,3.147863613611177502e+00,2.388701756848178093e+00,2.529192778007013143e+00
