m,R,Prior
1.29626710458185,11.6619021317787,8.1685999019768E-05
1.09584668540937,12.9262825328266,8.1685999019768E-05
1.2945412842194,12.9648249000097,8.1685999019768E-05
1.19453747436887,14.3283461499885,8.1685999019768E-05
1.33960094711938,13.3072286828555,8.1685999019768E-05
1.28647158987182,12.1294458285629,8.1685999019768E-05
1.46471694779597,13.7061058919261,8.1685999019768E-05
1.67511976627227,14.7694996707217,8.1685999019768E-05
1.17786980265379,13.2136118941464,8.1685999019768E-05
1.08747527109448,12.1404431327098,8.1685999019768E-05
1.11091878661007,12.0208484529518,8.1685999019768E-05
1.17108195681753,11.7659934594163,8.1685999019768E-05
1.02357845964435,11.2092255114793,8.1685999019768E-05
1.23528677940229,13.6645793578978,8.1685999019768E-05
1.36195839110036,13.0568982747104,8.1685999019768E-05
1.4093322313475,12.1391384435429,8.1685999019768E-05
1.38408240931161,14.1160536123854,8.1685999019768E-05
1.08689840226427,11.5032204048303,8.1685999019768E-05
1.15370006867457,11.1953892318305,8.1685999019768E-05
1.36642921947943,14.3470410686818,8.1685999019768E-05
1.08446832992513,11.587893525315,8.1685999019768E-05
1.23681959933747,13.8376525125359,8.1685999019768E-05
1.19464683556675,12.6395813388507,8.1685999019768E-05
1.37492739667485,12.7333433039794,8.1685999019768E-05
1.08806078431908,10.2841321183696,8.1685999019768E-05
1.56199165023429,13.7962433096499,8.1685999019768E-05
1.27161341015994,10.9616538134901,8.1685999019768E-05
1.27179370929572,13.1164618541327,8.1685999019768E-05
1.42624734463442,14.2061822632711,8.1685999019768E-05
1.04444608589769,12.9662887384849,8.1685999019768E-05
1.01990100005274,11.6126688400014,8.1685999019768E-05
1.1511089232991,12.9080192876215,8.1685999019768E-05
1.35553922257505,12.2050675614297,8.1685999019768E-05
1.14753001095564,11.6136295580404,8.1685999019768E-05
1.02692226175009,11.9586286824448,8.1685999019768E-05
1.21385478932288,13.3552644862046,8.1685999019768E-05
1.2146033288504,14.6670507688554,8.1685999019768E-05
1.27950629199328,12.5049394813807,8.1685999019768E-05
1.26535242350512,12.6054025064725,8.1685999019768E-05
1.30753955262166,12.2936318182626,8.1685999019768E-05
1.06817370529372,12.09103384468,8.1685999019768E-05
1.11219947314821,13.2796511683433,8.1685999019768E-05
1.15722108352277,11.8561752923935,8.1685999019768E-05
1.5655226487982,12.7390677027327,8.1685999019768E-05
1.51339392697892,13.4803999415159,8.1685999019768E-05
1.18404787555054,12.7692097078754,8.1685999019768E-05
1.07832351201366,12.6961249609181,8.1685999019768E-05
1.16504369564335,10.2405685579896,8.1685999019768E-05
1.23573347247653,14.1794821020126,8.1685999019768E-05
1.40289245944288,13.5012449658224,8.1685999019768E-05
1.17936897055393,11.9532056324152,8.1685999019768E-05
1.22284084666288,13.9798099060212,8.1685999019768E-05
1.15397880595351,12.0919028234356,8.1685999019768E-05
1.01454893755246,11.3294494088909,8.1685999019768E-05
1.16515985986469,11.8938798110172,8.1685999019768E-05
1.5262888970982,15.2639347777167,8.1685999019768E-05
1.3394565997181,12.8321574413616,8.1685999019768E-05
1.38079715907481,12.9248682238115,8.1685999019768E-05
1.00778813981454,10.4439023044615,8.1685999019768E-05
1.21078271961617,12.0759640137037,8.1685999019768E-05
1.00333325577618,10.4507443729694,8.1685999019768E-05
1.14613092772741,11.3051933908123,8.1685999019768E-05
1.27746274060579,14.3326203146858,8.1685999019768E-05
1.26377505653623,13.7406741642164,8.1685999019768E-05
1.07396386572056,12.9285989737805,8.1685999019768E-05
1.16309847903387,12.1116511153877,8.1685999019768E-05
1.2391664458539,11.2113469817479,8.1685999019768E-05
